"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:22:14:309","2517725315890430","   0.129","  11.000"," 1300","   3.618","   0.360","   0.100","   1.295","   0.129","   0.036"," 57","0","   0.629","   0.063","   0.017","  28.000","  500"
"14:22:14:406","2517725578763196","   0.227","  14.000"," 2700","   3.855","   0.736","   0.204","   1.637","   0.288","   0.080"," 58","0","   0.572","   0.118","   0.033","  28.000","  500"
"14:22:14:508","2517725852488077","   0.328","  41.000"," 3000","  12.243","   1.977","   0.549","   9.601","   1.262","   0.350"," 67","0","   1.621","   0.283","   0.079","  28.000","  600"
"14:22:14:605","2517726115850996","   0.426","  20.000"," 2700","   6.439","   2.605","   0.724","   3.338","   1.587","   0.441"," 60","0","   1.161","   0.396","   0.110","  28.000","  500"
"14:22:14:706","2517726388558755","   0.527","  27.000"," 2700","   8.839","   3.498","   0.972","   5.972","   2.191","   0.608"," 61","0","   1.262","   0.523","   0.145","  28.000","  850"
"14:22:14:804","2517726654236040","   0.625","  12.000"," 1600","   3.853","   3.877","   1.077","   1.515","   2.340","   0.650"," 58","0","   0.723","   0.595","   0.165","  28.000","  850"
"14:22:14:909","2517726936196128","   0.729","  11.000"," 1600","   3.635","   4.257","   1.182","   1.392","   2.485","   0.690"," 57","0","   0.555","   0.653","   0.181","  28.000","  850"
"14:22:15:007","2517727202071326","   0.828","   9.000"," 1300","   3.380","   4.589","   1.275","   1.201","   2.603","   0.723"," 57","0","   0.505","   0.702","   0.195","  28.000","  850"
"14:22:15:108","2517727473849670","   0.929","  14.000"," 1300","   4.142","   5.006","   1.391","   1.815","   2.786","   0.774"," 57","0","   0.711","   0.774","   0.215","  28.000","  850"
"14:22:15:204","2517727733972127","   1.025","  23.000"," 1600","   5.890","   5.574","   1.548","   3.484","   3.122","   0.867"," 58","0","   0.923","   0.863","   0.240","  28.000","  500"
