"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:19:03:599","2517210415678228","   0.146","   3.000"," 1300","   2.911","   0.289","   0.080","   0.283","   0.028","   0.008"," 58","0","   0.584","   0.058","   0.016","  28.000","  500"
"14:19:03:700","2517210688431853","   0.247","  12.000"," 1300","   5.609","   0.855","   0.238","   2.815","   0.312","   0.087"," 58","0","   1.016","   0.161","   0.045","  28.000","  850"
"14:19:03:799","2517210953704971","   0.345","  11.000"," 1600","   3.228","   1.172","   0.326","   0.945","   0.405","   0.113"," 58","0","   0.736","   0.233","   0.065","  28.000","  850"
"14:19:03:898","2517211223401194","   0.445","  23.000"," 1600","   7.500","   1.921","   0.534","   4.537","   0.859","   0.238"," 60","0","   1.322","   0.365","   0.101","  28.000","  500"
"14:19:04:002","2517211503910275","   0.549","   9.000"," 1600","   3.900","   2.327","   0.646","   1.255","   0.989","   0.275"," 58","0","   0.812","   0.449","   0.125","  28.000","  500"
"14:19:04:100","2517211767579838","   0.646","  10.000"," 1300","   3.577","   2.676","   0.743","   1.021","   1.089","   0.302"," 58","0","   0.532","   0.501","   0.139","  28.000","  500"
"14:19:04:202","2517212044009750","   0.749","   2.000"," 1300","   2.785","   2.961","   0.823","   0.230","   1.112","   0.309"," 57","0","   0.461","   0.549","   0.152","  28.000","  500"
"14:19:04:302","2517212314011754","   0.849","   1.000"," 1300","   2.400","   3.201","   0.889","   0.156","   1.128","   0.313"," 57","0","   0.453","   0.594","   0.165","  28.000","  500"
"14:19:04:402","2517212583247014","   0.949","   2.000"," 1600","   2.326","   3.433","   0.954","   0.193","   1.147","   0.319"," 56","0","   0.453","   0.639","   0.177","  28.000","  500"
"14:19:04:500","2517212848782547","   1.047","   0.000"," 1300","   2.259","   3.655","   1.015","   0.107","   1.158","   0.322"," 56","0","   0.447","   0.683","   0.190","  28.000","  500"
"14:19:04:598","2517213113223426","   1.145","   3.000"," 1600","   2.500","   3.900","   1.083","   0.345","   1.191","   0.331"," 56","0","   0.486","   0.731","   0.203","  28.000","  500"
"14:19:04:699","2517213384086085","   1.245","  51.000"," 3100","  17.059","   5.611","   1.559","  14.103","   2.606","   0.724"," 70","0","   1.783","   0.909","   0.253","  28.000","  700"
"14:19:04:802","2517213663418752","   1.349","  57.000"," 3100","  17.489","   7.421","   2.061","  14.694","   4.126","   1.146"," 75","0","   1.762","   1.092","   0.303","  28.000","  600"
"14:19:04:902","2517213933583254","   1.449","  55.000"," 3100","  18.451","   9.267","   2.574","  15.667","   5.694","   1.582"," 77","0","   1.538","   1.246","   0.346","  28.000","  500"
"14:19:05:002","2517214203629445","   1.549","  49.000"," 3000","  18.241","  11.092","   3.081","  15.844","   7.279","   2.022"," 79","0","   1.535","   1.399","   0.389","  28.000","  500"
"14:19:05:103","2517214476543768","   1.650","  50.000"," 3100","  17.816","  12.892","   3.581","  15.597","   8.855","   2.460"," 79","0","   1.254","   1.526","   0.424","  28.000","  500"
"14:19:05:203","2517214746669825","   1.750","  56.000"," 3100","  17.566","  14.650","   4.069","  15.257","  10.382","   2.884"," 79","0","   1.781","   1.704","   0.473","  28.000","  500"
"14:19:05:300","2517215006992179","   1.846","  36.000"," 3100","  13.567","  15.958","   4.433","  11.063","  11.449","   3.180"," 75","0","   1.135","   1.814","   0.504","  28.000","  500"
"14:19:05:402","2517215283579744","   1.949","  27.000"," 3100","  11.760","  17.163","   4.767","   9.350","  12.407","   3.446"," 70","0","   1.024","   1.918","   0.533","  28.000","  500"
"14:19:05:502","2517215553559236","   2.049","  25.000"," 3100","  11.090","  18.272","   5.075","   8.753","  13.282","   3.689"," 73","0","   1.040","   2.022","   0.562","  28.000","  500"
"14:19:05:599","2517215815319706","   2.146","  25.000"," 3100","  11.353","  19.372","   5.381","   9.005","  14.155","   3.932"," 73","0","   0.998","   2.119","   0.589","  28.000","  500"
"14:19:05:700","2517216086877658","   2.246","  32.000"," 2700","  14.374","  20.818","   5.783","  11.783","  15.340","   4.261"," 76","0","   1.385","   2.258","   0.627","  28.000","  850"
"14:19:05:802","2517216363533658","   2.349","  25.000"," 3100","  11.457","  21.992","   6.109","   9.152","  16.278","   4.522"," 71","0","   0.995","   2.360","   0.656","  28.000","  850"
"14:19:05:902","2517216633627993","   2.449","  29.000"," 3100","  12.404","  23.233","   6.454","   9.946","  17.273","   4.798"," 69","0","   1.077","   2.468","   0.686","  28.000","  850"
"14:19:06:002","2517216903593619","   2.549","  25.000"," 3100","  11.542","  24.387","   6.774","   8.856","  18.158","   5.044"," 73","0","   1.011","   2.569","   0.714","  28.000","  850"
