"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:26:40:212","2518443233754468","   0.153","   4.000"," 1600","   2.632","   0.255","   0.071","   0.374","   0.036","   0.010"," 55","0","   0.573","   0.055","   0.015","  28.000","  500"
"14:26:40:314","2518443507627759","   0.255","   5.000"," 1600","   2.540","   0.512","   0.142","   0.342","   0.071","   0.020"," 54","0","   0.495","   0.106","   0.029","  28.000","  500"
"14:26:40:415","2518443781010728","   0.356","  26.000"," 1300","   7.404","   1.262","   0.351","   4.781","   0.555","   0.154"," 57","0","   1.370","   0.244","   0.068","  28.000","  500"
"14:26:40:515","2518444050446187","   0.456","  11.000"," 1600","   4.171","   1.678","   0.466","   1.480","   0.703","   0.195"," 56","0","   0.846","   0.329","   0.091","  28.000","  500"
"14:26:40:613","2518444315676487","   0.554","   7.000"," 1300","   3.111","   1.984","   0.551","   0.687","   0.770","   0.214"," 54","0","   0.472","   0.375","   0.104","  28.000","  500"
"14:26:40:717","2518444596844586","   0.658","   9.000"," 1300","   5.607","   2.568","   0.713","   2.606","   1.042","   0.289"," 55","0","   0.957","   0.475","   0.132","  28.000","  850"
"14:26:40:817","2518444866848258","   0.758","   0.000"," 1300","   2.219","   2.790","   0.775","   0.060","   1.048","   0.291"," 54","0","   0.475","   0.522","   0.145","  28.000","  850"
"14:26:40:914","2518445128095909","   0.855","  10.000"," 3100","   4.332","   3.209","   0.891","   2.180","   1.259","   0.350"," 58","0","   0.601","   0.580","   0.161","  28.000","  850"
"14:26:41:014","2518445397677475","   0.955","  32.000"," 3100","  12.370","   4.444","   1.234","   9.725","   2.230","   0.619"," 63","0","   1.206","   0.701","   0.195","  28.000","  650"
"14:26:41:118","2518445678344062","   1.059","  98.000"," 3100","  19.816","   6.504","   1.807","  17.262","   4.024","   1.118"," 75","0","   0.906","   0.795","   0.221","  28.000","  500"
"14:26:41:213","2518445934411897","   1.154","  30.000"," 1600","   7.698","   7.234","   2.009","   5.401","   4.536","   1.260"," 62","0","   0.808","   0.872","   0.242","  28.000","  500"
"14:26:41:316","2518446214304795","   1.257","   8.000"," 1300","   3.461","   7.593","   2.109","   0.857","   4.625","   1.285"," 58","0","   0.778","   0.952","   0.265","  28.000","  500"
"14:26:41:413","2518446476832873","   1.355","   8.000"," 1600","   3.139","   7.898","   2.194","   0.780","   4.701","   1.306"," 57","0","   0.716","   1.022","   0.284","  28.000","  500"
"14:26:41:513","2518446746043129","   1.454","  10.000"," 1600","   3.592","   8.256","   2.293","   1.230","   4.824","   1.340"," 57","0","   0.788","   1.100","   0.306","  28.000","  500"
"14:26:41:612","2518447013766543","   1.553","   8.000"," 1600","   2.975","   8.551","   2.375","   0.676","   4.891","   1.359"," 56","0","   0.688","   1.169","   0.325","  28.000","  500"
"14:26:41:716","2518447292762482","   1.657","  15.000"," 1300","   6.311","   9.203","   2.556","   3.608","   5.264","   1.462"," 56","0","   1.119","   1.284","   0.357","  28.000","  850"
"14:26:41:813","2518447554438958","   1.754","   2.000"," 1300","   2.370","   9.433","   2.620","   0.174","   5.280","   1.467"," 55","0","   0.504","   1.333","   0.370","  28.000","  850"
"14:26:41:913","2518447824278748","   1.854","   7.000"," 1600","   2.862","   9.719","   2.700","   0.611","   5.342","   1.484"," 55","0","   0.624","   1.395","   0.388","  28.000","  850"
"14:26:42:017","2518448106849330","   1.958","   7.000"," 1300","   3.033","  10.036","   2.788","   0.701","   5.415","   1.504"," 55","0","   0.702","   1.469","   0.408","  28.000","  850"
"14:26:42:115","2518448371424970","   2.056","   6.000"," 1300","   2.800","  10.311","   2.864","   0.504","   5.464","   1.518"," 54","0","   0.663","   1.534","   0.426","  28.000","  850"
"14:26:42:212","2518448633118290","   2.153","   8.000"," 1300","   2.934","  10.595","   2.943","   0.664","   5.529","   1.536"," 55","0","   0.673","   1.599","   0.444","  28.000","  850"
"14:26:42:317","2518448916845990","   2.258","   7.000"," 1300","   3.018","  10.912","   3.031","   0.693","   5.602","   1.556"," 55","0","   0.696","   1.672","   0.464","  28.000","  850"
"14:26:42:412","2518449173014059","   2.353","  21.000"," 3000","   4.996","  11.386","   3.163","   2.695","   5.857","   1.627"," 59","0","   0.897","   1.757","   0.488","  28.000","  850"
"14:26:42:516","2518449453593972","   2.457","  18.000"," 2700","   6.598","  12.072","   3.353","   3.685","   6.240","   1.733"," 57","0","   1.299","   1.892","   0.526","  28.000","  500"
"14:26:42:613","2518449715417059","   2.554","  23.000"," 1600","   7.057","  12.756","   3.543","   4.800","   6.706","   1.863"," 57","0","   0.780","   1.968","   0.547","  28.000","  500"
"14:26:42:713","2518449985798354","   2.654","  25.000"," 1300","   8.388","  13.596","   3.777","   5.483","   7.255","   2.015"," 58","0","   1.346","   2.103","   0.584","  28.000","  850"
"14:26:42:812","2518450253694198","   2.753","   8.000"," 1600","   3.326","  13.926","   3.868","   0.758","   7.330","   2.036"," 56","0","   0.709","   2.173","   0.604","  28.000","  850"
"14:26:42:916","2518450534960491","   2.858","   7.000"," 1300","   3.030","  14.242","   3.956","   0.710","   7.404","   2.057"," 56","0","   0.698","   2.246","   0.624","  28.000","  850"
"14:26:43:014","2518450798582442","   2.955","  14.000"," 1300","   4.336","  14.665","   4.074","   1.907","   7.590","   2.108"," 56","0","   0.834","   2.327","   0.646","  28.000","  500"
"14:26:43:113","2518451064352935","   3.054","   6.000"," 1600","   2.788","  14.940","   4.150","   0.548","   7.644","   2.123"," 55","0","   0.601","   2.386","   0.663","  28.000","  500"
"14:26:43:212","2518451333139753","   3.153","   8.000"," 1600","   2.980","  15.236","   4.232","   0.710","   7.715","   2.143"," 55","0","   0.656","   2.451","   0.681","  28.000","  500"
"14:26:43:313","2518451606572004","   3.255","  10.000"," 1300","   3.461","  15.587","   4.330","   1.035","   7.820","   2.172"," 55","0","   0.728","   2.525","   0.701","  28.000","  500"
"14:26:43:413","2518451874780873","   3.354","   5.000"," 1600","   2.679","  15.853","   4.404","   0.434","   7.863","   2.184"," 54","0","   0.581","   2.583","   0.717","  28.000","  500"
"14:26:43:512","2518452144119514","   3.454","   6.000"," 1600","   2.852","  16.138","   4.483","   0.552","   7.918","   2.199"," 54","0","   0.623","   2.645","   0.735","  28.000","  500"
"14:26:43:616","2518452423913834","   3.557","  11.000"," 2700","   3.590","  16.510","   4.586","   1.182","   8.040","   2.233"," 56","0","   0.736","   2.721","   0.756","  28.000","  500"
"14:26:43:714","2518452687623346","   3.655","  17.000"," 1600","   6.744","  17.168","   4.769","   4.002","   8.431","   2.342"," 56","0","   1.222","   2.841","   0.789","  28.000","  850"
"14:26:43:812","2518452953070072","   3.753","   6.000"," 1600","   2.859","  17.449","   4.847","   0.538","   8.484","   2.357"," 55","0","   0.675","   2.907","   0.808","  28.000","  850"
"14:26:43:913","2518453226645451","   3.855","   7.000"," 1600","   2.924","  17.746","   4.929","   0.666","   8.552","   2.375"," 55","0","   0.616","   2.969","   0.825","  28.000","  850"
"14:26:44:016","2518453503566616","   3.957","  25.000"," 2900","  10.729","  18.846","   5.235","   8.454","   9.419","   2.616"," 62","0","   0.796","   3.051","   0.848","  28.000","  500"
"14:26:44:112","2518453763326944","   4.053","   5.000"," 1600","   3.756","  19.207","   5.335","   1.435","   9.557","   2.655"," 56","0","   0.651","   3.114","   0.865","  28.000","  500"
"14:26:44:215","2518454041441038","   4.156","   5.000"," 1600","   2.923","  19.508","   5.419","   0.494","   9.608","   2.669"," 56","0","   0.684","   3.184","   0.884","  28.000","  500"
"14:26:44:270","2518454189288004","   4.211","   9.000"," 2700","   3.240","  19.686","   5.468","   0.874","   9.655","   2.682"," 56","0","   0.712","   3.223","   0.895","  28.000","  500"

"Total Elapsed Time (sec) = 4.211107"
"Measured RDTSC Frequency (GHz) = 2.700"

"Cumulative Processor Energy_0 (Joules) = 19.685913"
"Cumulative Processor Energy_0 (mWh) = 5.468309"
"Average Processor Power_0 (Watt) = 4.674759"

"Cumulative IA Energy_0 (Joules) = 9.655457"
"Cumulative IA Energy_0 (mWh) = 2.682071"
"Average IA Power_0 (Watt) = 2.292854"

"Cumulative DRAM Energy_0 (Joules) = 3.223145"
"Cumulative DRAM Energy_0 (mWh) = 0.895318"
"Average DRAM Power_0 (Watt) = 0.765391"
