"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:26:03:012","2518342795661475","   0.185","   5.000"," 1300","   3.019","   0.296","   0.082","   0.648","   0.064","   0.018"," 54","0","   0.665","   0.065","   0.018","  28.000","  700"
"14:26:03:115","2518343073879848","   0.288","   4.000"," 1300","   2.518","   0.556","   0.154","   0.336","   0.098","   0.027"," 54","0","   0.488","   0.116","   0.032","  28.000","  700"
"14:26:03:215","2518343344443392","   0.388","   4.000"," 1300","   2.546","   0.811","   0.225","   0.351","   0.133","   0.037"," 53","0","   0.495","   0.165","   0.046","  28.000","  700"
"14:26:03:313","2518343608085955","   0.486","   5.000"," 1600","   2.666","   1.071","   0.298","   0.457","   0.178","   0.049"," 54","0","   0.534","   0.217","   0.060","  28.000","  700"
"14:26:03:411","2518343873332875","   0.584","  12.000"," 1600","   3.252","   1.391","   0.386","   0.977","   0.274","   0.076"," 54","0","   0.724","   0.288","   0.080","  28.000","  700"
"14:26:03:515","2518344153569946","   0.688","  24.000"," 1600","   7.460","   2.165","   0.601","   4.852","   0.778","   0.216"," 56","0","   1.357","   0.429","   0.119","  28.000","  500"
"14:26:03:611","2518344413573988","   0.784","  12.000"," 1300","   4.011","   2.552","   0.709","   1.545","   0.926","   0.257"," 55","0","   0.828","   0.509","   0.141","  28.000","  500"
"14:26:03:716","2518344696929017","   0.889","  16.000"," 1300","   6.482","   3.232","   0.898","   3.510","   1.295","   0.360"," 55","0","   1.041","   0.618","   0.172","  28.000","  850"
"14:26:03:812","2518344954990330","   0.985","   1.000"," 1300","   2.333","   3.455","   0.960","   0.164","   1.310","   0.364"," 54","0","   0.489","   0.665","   0.185","  28.000","  850"
"14:26:03:915","2518345233587381","   1.088","   1.000"," 1300","   2.251","   3.687","   1.024","   0.115","   1.322","   0.367"," 53","0","   0.445","   0.711","   0.197","  28.000","  850"
"14:26:04:011","2518345493901712","   1.185","   2.000"," 1300","   2.304","   3.909","   1.086","   0.163","   1.338","   0.372"," 53","0","   0.458","   0.755","   0.210","  28.000","  850"
"14:26:04:116","2518345776842998","   1.289","   1.000"," 1300","   2.224","   4.142","   1.151","   0.096","   1.348","   0.374"," 53","0","   0.445","   0.802","   0.223","  28.000","  850"
"14:26:04:213","2518346039744520","   1.387","  29.000"," 3100","  10.440","   5.159","   1.433","   8.122","   2.139","   0.594"," 64","0","   1.098","   0.909","   0.252","  28.000","  600"
"14:26:04:311","2518346304374526","   1.485","  99.000"," 3100","  21.598","   7.276","   2.021","  19.480","   4.048","   1.125"," 76","0","   0.948","   1.002","   0.278","  28.000","  500"
"14:26:04:416","2518346586453276","   1.589","  98.000"," 3100","  21.635","   9.536","   2.649","  19.572","   6.093","   1.693"," 77","0","   0.698","   1.074","   0.298","  28.000","  500"
"14:26:04:516","2518346856486486","   1.689"," 100.000"," 3100","  21.487","  11.685","   3.246","  19.445","   8.038","   2.233"," 79","0","   0.664","   1.141","   0.317","  28.000","  500"
"14:26:04:612","2518347115234860","   1.785","  99.000"," 3100","  21.278","  13.724","   3.812","  19.254","   9.883","   2.745"," 81","0","   0.659","   1.204","   0.334","  28.000","  500"
"14:26:04:711","2518347383575092","   1.884","  99.000"," 3100","  23.149","  16.025","   4.451","  20.803","  11.951","   3.320"," 82","0","   1.178","   1.321","   0.367","  28.000","  850"
"14:26:04:816","2518347666470019","   1.989","  99.000"," 3100","  22.292","  18.361","   5.100","  19.968","  14.043","   3.901"," 83","0","   0.716","   1.396","   0.388","  28.000","  850"
"14:26:04:912","2518347924963189","   2.085","  99.000"," 3100","  21.826","  20.450","   5.681","  19.734","  15.932","   4.426"," 83","0","   0.783","   1.471","   0.409","  28.000","  850"
"14:26:05:016","2518348206538128","   2.189"," 100.000"," 3100","  22.383","  22.785","   6.329","  20.249","  18.044","   5.012"," 84","0","   0.919","   1.567","   0.435","  28.000","  850"
