"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:24:38:208","2518113833358715","   0.162","  10.000"," 1300","   3.150","   0.301","   0.084","   0.825","   0.079","   0.022"," 58","0","   0.709","   0.068","   0.019","  28.000","  500"
"14:24:38:309","2518114105879542","   0.263","   4.000"," 1600","   2.639","   0.568","   0.158","   0.417","   0.121","   0.034"," 58","0","   0.568","   0.125","   0.035","  28.000","  500"
"14:24:38:409","2518114373789500","   0.363","  26.000"," 2700","   6.967","   1.259","   0.350","   4.121","   0.530","   0.147"," 61","0","   1.327","   0.257","   0.071","  28.000","  500"
"14:24:38:512","2518114653199793","   0.466","  10.000"," 1300","   4.229","   1.697","   0.471","   1.232","   0.657","   0.183"," 58","0","   0.848","   0.345","   0.096","  28.000","  500"
"14:24:38:609","2518114914693849","   0.563","  11.000"," 1300","   3.569","   2.042","   0.567","   1.005","   0.755","   0.210"," 58","0","   0.529","   0.396","   0.110","  28.000","  500"
"14:24:38:710","2518115187288076","   0.664","   9.000"," 1300","   5.573","   2.605","   0.724","   2.538","   1.011","   0.281"," 58","0","   0.968","   0.493","   0.137","  28.000","  850"
"14:24:38:813","2518115464263386","   0.766","   1.000"," 1300","   2.257","   2.836","   0.788","   0.096","   1.021","   0.284"," 57","0","   0.474","   0.542","   0.151","  28.000","  850"
"14:24:38:912","2518115733805158","   0.866","   1.000"," 1300","   2.232","   3.059","   0.850","   0.105","   1.031","   0.286"," 56","0","   0.442","   0.586","   0.163","  28.000","  850"
"14:24:39:012","2518116004070976","   0.966","  14.000"," 3000","   5.883","   3.648","   1.013","   3.623","   1.394","   0.387"," 65","0","   0.809","   0.667","   0.185","  28.000","  650"
"14:24:39:109","2518116263923419","   1.063","  32.000"," 3100","  12.091","   4.812","   1.337","   9.632","   2.321","   0.645"," 67","0","   1.126","   0.776","   0.215","  28.000","  500"
"14:24:39:209","2518116533639475","   1.163","  41.000"," 3100","  15.494","   6.360","   1.767","  12.785","   3.598","   1.000"," 70","0","   1.126","   0.888","   0.247","  28.000","  500"
"14:24:39:310","2518116807428049","   1.264","  38.000"," 3100","  14.683","   7.849","   2.180","  12.386","   4.854","   1.348"," 71","0","   1.099","   1.000","   0.278","  28.000","  500"
"14:24:39:408","2518117073123586","   1.362","  39.000"," 3100","  14.815","   9.307","   2.585","  12.473","   6.082","   1.689"," 73","0","   1.203","   1.118","   0.311","  28.000","  500"
"14:24:39:509","2518117343798286","   1.463","  40.000"," 3100","  15.216","  10.832","   3.009","  12.856","   7.371","   2.047"," 75","0","   1.196","   1.238","   0.344","  28.000","  500"
"14:24:39:608","2518117613094990","   1.562","  41.000"," 3100","  15.045","  12.333","   3.426","  12.709","   8.638","   2.399"," 74","0","   1.216","   1.359","   0.378","  28.000","  500"
