"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:23:03:506","2517858143718390","   0.165","   8.000"," 1600","   2.979","   0.291","   0.081","   0.680","   0.066","   0.018"," 53","0","   0.694","   0.068","   0.019","  28.000","  500"
"14:23:03:608","2517858420007604","   0.267","  22.000"," 2700","   6.415","   0.947","   0.263","   3.653","   0.440","   0.122"," 56","0","   1.178","   0.188","   0.052","  28.000","  500"
"14:23:03:711","2517858696895505","   0.370","  16.000"," 1300","   6.753","   1.640","   0.455","   3.827","   0.833","   0.231"," 55","0","   1.170","   0.308","   0.086","  28.000","  500"
"14:23:03:810","2517858964494230","   0.469","  10.000"," 1300","   4.354","   2.071","   0.575","   1.606","   0.992","   0.276"," 53","0","   0.743","   0.382","   0.106","  28.000","  500"
"14:23:03:906","2517859225307594","   0.566","   5.000"," 1300","   2.693","   2.332","   0.648","   0.509","   1.041","   0.289"," 53","0","   0.476","   0.428","   0.119","  28.000","  500"
"14:23:04:009","2517859501699338","   0.668","   0.000"," 1300","   2.194","   2.556","   0.710","   0.075","   1.049","   0.291"," 52","0","   0.440","   0.473","   0.131","  28.000","  500"
"14:23:04:109","2517859772308974","   0.768","   1.000"," 1300","   2.240","   2.781","   0.772","   0.105","   1.059","   0.294"," 52","0","   0.448","   0.518","   0.144","  28.000","  500"
"14:23:04:211","2517860046848034","   0.870","   1.000"," 1300","   2.231","   3.008","   0.835","   0.101","   1.070","   0.297"," 52","0","   0.445","   0.563","   0.156","  28.000","  500"
"14:23:04:311","2517860316943911","   0.970","   1.000"," 1300","   2.243","   3.232","   0.898","   0.107","   1.080","   0.300"," 52","0","   0.448","   0.608","   0.169","  28.000","  500"
"14:23:04:408","2517860579516802","   1.067","  22.000"," 3100","   7.774","   3.988","   1.108","   5.501","   1.615","   0.449"," 62","0","   0.952","   0.701","   0.195","  28.000","  550"
"14:23:04:509","2517860853596703","   1.169","  43.000"," 3100","  13.251","   5.333","   1.481","  10.556","   2.687","   0.746"," 66","0","   1.381","   0.841","   0.234","  28.000","  500"
"14:23:04:607","2517861117427932","   1.267","  53.000"," 3100","  18.441","   7.135","   1.982","  15.818","   4.233","   1.176"," 70","0","   1.338","   0.971","   0.270","  28.000","  500"
"14:23:04:706","2517861383287572","   1.365","  74.000"," 3100","  21.701","   9.272","   2.576","  18.917","   6.095","   1.693"," 73","0","   1.562","   1.125","   0.313","  28.000","  700"
"14:23:04:807","2517861658100976","   1.467","  84.000"," 3100","  20.444","  11.353","   3.154","  18.144","   7.942","   2.206"," 75","0","   1.528","   1.281","   0.356","  28.000","  500"
"14:23:04:906","2517861925234878","   1.566","  87.000"," 3100","  20.988","  13.430","   3.730","  18.684","   9.791","   2.720"," 77","0","   1.604","   1.440","   0.400","  28.000","  500"
"14:23:05:008","2517862198910256","   1.667","  88.000"," 3100","  21.008","  15.559","   4.322","  18.704","  11.687","   3.246"," 78","0","   1.655","   1.607","   0.446","  28.000","  500"
