"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:35:19:643","2519845624576736","   0.108","   9.000"," 2700","   3.700","   0.384","   0.107","   1.332","   0.138","   0.038"," 54","0","   0.774","   0.080","   0.022","  28.000","  500"
"14:35:19:740","2519845887765638","   0.205","  11.000"," 1300","   5.812","   0.951","   0.264","   2.847","   0.416","   0.115"," 54","0","   1.081","   0.186","   0.052","  28.000","  850"
"14:35:19:839","2519846153426061","   0.304","   4.000"," 1600","   2.656","   1.212","   0.337","   0.413","   0.456","   0.127"," 53","0","   0.550","   0.240","   0.067","  28.000","  850"
"14:35:19:943","2519846434817202","   0.408","  24.000"," 1300","   7.251","   1.968","   0.547","   4.628","   0.939","   0.261"," 56","0","   1.257","   0.371","   0.103","  28.000","  500"
"14:35:20:043","2519846705358417","   0.508","   9.000"," 1300","   3.814","   2.350","   0.653","   1.403","   1.079","   0.300"," 54","0","   0.812","   0.452","   0.126","  28.000","  500"
"14:35:20:139","2519846963451606","   0.604","  11.000"," 1300","   3.482","   2.683","   0.745","   1.033","   1.178","   0.327"," 53","0","   0.524","   0.502","   0.140","  28.000","  500"
"14:35:20:244","2519847246938556","   0.709","   1.000"," 1300","   2.276","   2.922","   0.812","   0.138","   1.193","   0.331"," 52","0","   0.456","   0.550","   0.153","  28.000","  500"
"14:35:20:344","2519847516846038","   0.808","   0.000"," 1300","   2.217","   3.143","   0.873","   0.078","   1.200","   0.333"," 52","0","   0.443","   0.595","   0.165","  28.000","  500"
"14:35:20:444","2519847786884510","   0.909","   2.000"," 1300","   2.327","   3.376","   0.938","   0.186","   1.219","   0.339"," 51","0","   0.460","   0.641","   0.178","  28.000","  500"
"14:35:20:544","2519848056898248","   1.009","   0.000"," 1300","   2.168","   3.593","   0.998","   0.058","   1.225","   0.340"," 51","0","   0.433","   0.684","   0.190","  28.000","  500"
