"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:34:47:138","2519757864578988","   0.109","  13.000"," 1600","   3.676","   0.359","   0.100","   1.327","   0.129","   0.036"," 54","0","   0.789","   0.077","   0.021","  28.000","  500"
"14:34:47:243","2519758146947301","   0.213","   7.000"," 1300","   2.856","   0.657","   0.183","   0.571","   0.189","   0.053"," 54","0","   0.658","   0.146","   0.040","  28.000","  500"
"14:34:47:339","2519758407341202","   0.310","  10.000"," 1600","   3.200","   0.966","   0.268","   0.908","   0.277","   0.077"," 53","0","   0.721","   0.215","   0.060","  28.000","  500"
"14:34:47:438","2519758675725738","   0.409","  26.000"," 1600","   7.256","   1.687","   0.469","   4.674","   0.741","   0.206"," 55","0","   1.378","   0.352","   0.098","  28.000","  500"
"14:34:47:543","2519758956897335","   0.513","   8.000"," 1300","   3.679","   2.070","   0.575","   1.201","   0.866","   0.241"," 54","0","   0.812","   0.437","   0.121","  28.000","  500"
"14:34:47:638","2519759215679348","   0.609","  10.000"," 1300","   3.407","   2.397","   0.666","   0.953","   0.958","   0.266"," 53","0","   0.530","   0.488","   0.135","  28.000","  500"
"14:34:47:740","2519759488614392","   0.710","  11.000"," 1300","   5.352","   2.938","   0.816","   2.663","   1.227","   0.341"," 54","0","   0.987","   0.587","   0.163","  28.000","  850"
"14:34:47:843","2519759766943827","   0.813","   1.000"," 1300","   2.277","   3.173","   0.881","   0.112","   1.239","   0.344"," 53","0","   0.481","   0.637","   0.177","  28.000","  850"
"14:34:47:939","2519760027692830","   0.910","   1.000"," 1300","   2.261","   3.391","   0.942","   0.128","   1.251","   0.347"," 52","0","   0.450","   0.680","   0.189","  28.000","  850"
"14:34:48:043","2519760306872814","   1.013","   0.000"," 1300","   2.203","   3.619","   1.005","   0.070","   1.258","   0.349"," 52","0","   0.440","   0.726","   0.202","  28.000","  850"
"14:34:48:142","2519760576532956","   1.113","  27.000"," 3100","  10.578","   4.675","   1.299","   8.269","   2.084","   0.579"," 65","0","   0.997","   0.825","   0.229","  28.000","  700"
"14:34:48:242","2519760844200450","   1.212","  29.000"," 3100","  13.446","   6.008","   1.669","  10.941","   3.169","   0.880"," 61","0","   0.933","   0.918","   0.255","  28.000","  500"
"14:34:48:343","2519761116538134","   1.313","  25.000"," 3100","  12.406","   7.260","   2.017","  10.196","   4.197","   1.166"," 69","0","   0.704","   0.989","   0.275","  28.000","  500"
"14:34:48:442","2519761386512718","   1.413","  25.000"," 3100","  12.486","   8.508","   2.363","  10.270","   5.224","   1.451"," 72","0","   0.664","   1.055","   0.293","  28.000","  500"
"14:34:48:542","2519761656493479","   1.513","  24.000"," 3100","  12.607","   9.769","   2.714","  10.373","   6.261","   1.739"," 74","0","   0.657","   1.121","   0.311","  28.000","  500"
"14:34:48:638","2519761915261119","   1.609","  28.000"," 3100","  12.860","  11.002","   3.056","  10.576","   7.275","   2.021"," 71","0","   0.899","   1.207","   0.335","  28.000","  500"
"14:34:48:740","2519762189004465","   1.710","  34.000"," 3100","  14.563","  12.478","   3.466","  12.082","   8.500","   2.361"," 71","0","   1.164","   1.325","   0.368","  28.000","  850"
"14:34:48:838","2519762453656974","   1.808","  26.000"," 3100","  11.873","  13.642","   3.789","   9.644","   9.445","   2.624"," 69","0","   0.700","   1.394","   0.387","  28.000","  850"
"14:34:48:938","2519762725089978","   1.909","  27.000"," 3100","  12.065","  14.855","   4.126","   9.827","  10.433","   2.898"," 68","0","   0.668","   1.461","   0.406","  28.000","  850"
"14:34:49:038","2519762993298288","   2.008","  26.000"," 3100","  11.917","  16.039","   4.455","   9.686","  11.395","   3.165"," 67","0","   0.664","   1.527","   0.424","  28.000","  850"
"14:34:49:138","2519763265264209","   2.109","  27.000"," 3100","  12.220","  17.269","   4.797","   9.983","  12.401","   3.445"," 67","0","   0.677","   1.595","   0.443","  28.000","  850"
"14:34:49:238","2519763534940782","   2.209","  26.000"," 3100","  12.119","  18.480","   5.133","   9.877","  13.388","   3.719"," 67","0","   0.670","   1.662","   0.462","  28.000","  850"
"14:34:49:341","2519763813271800","   2.312","  26.000"," 3100","  12.156","  19.733","   5.481","   9.914","  14.410","   4.003"," 68","0","   0.690","   1.733","   0.481","  28.000","  850"
"14:34:49:438","2519764073145228","   2.408","  27.000"," 3100","  12.094","  20.897","   5.805","   9.869","  15.359","   4.267"," 69","0","   0.673","   1.798","   0.499","  28.000","  850"
"14:34:49:538","2519764343025612","   2.508","  26.000"," 3100","  11.968","  22.093","   6.137","   9.744","  16.333","   4.537"," 68","0","   0.668","   1.865","   0.518","  28.000","  850"
"14:34:49:638","2519764615272690","   2.609","  26.000"," 3100","  12.174","  23.321","   6.478","   9.934","  17.335","   4.815"," 68","0","   0.678","   1.933","   0.537","  28.000","  850"
"14:34:49:740","2519764890685635","   2.711","  35.000"," 3100","  14.936","  24.845","   6.901","  12.415","  18.602","   5.167"," 71","0","   1.121","   2.048","   0.569","  28.000","  850"
"14:34:49:838","2519765154187596","   2.809","  26.000"," 3100","  12.413","  26.056","   7.238","  10.130","  19.590","   5.442"," 71","0","   0.778","   2.123","   0.590","  28.000","  850"
"14:34:49:938","2519765424033180","   2.909","  26.000"," 3100","  12.263","  27.282","   7.578","  10.019","  20.592","   5.720"," 70","0","   0.669","   2.190","   0.608","  28.000","  850"
"14:34:50:039","2519765695991262","   3.009","  23.000"," 1600","  10.656","  28.355","   7.876","   8.416","  21.439","   5.955"," 66","0","   0.714","   2.262","   0.628","  28.000","  850"
"14:34:50:139","2519765966496378","   3.110","  13.000"," 1600","   5.285","  28.885","   8.023","   2.556","  21.695","   6.027"," 63","0","   1.009","   2.363","   0.656","  28.000","  500"
"14:34:50:239","2519766236648286","   3.210","  11.000"," 1600","   3.763","  29.261","   8.128","   1.279","  21.823","   6.062"," 58","0","   0.856","   2.449","   0.680","  28.000","  500"
"14:34:50:339","2519766506166742","   3.309","   6.000"," 1300","   3.095","  29.570","   8.214","   0.666","  21.890","   6.081"," 57","0","   0.729","   2.522","   0.700","  28.000","  500"
"14:34:50:439","2519766776299422","   3.409","   3.000"," 1300","   2.513","  29.822","   8.284","   0.296","  21.920","   6.089"," 56","0","   0.555","   2.577","   0.716","  28.000","  500"
"14:34:50:538","2519767043904682","   3.509","   2.000"," 1300","   2.369","  30.056","   8.349","   0.217","  21.941","   6.095"," 55","0","   0.461","   2.623","   0.729","  28.000","  500"
"14:34:50:638","2519767313007357","   3.608","   5.000"," 1600","   2.536","  30.309","   8.419","   0.333","  21.974","   6.104"," 55","0","   0.534","   2.676","   0.743","  28.000","  500"
"14:34:50:739","2519767585760802","   3.709","  17.000"," 1300","   6.474","  30.963","   8.601","   3.757","  22.354","   6.209"," 57","0","   1.153","   2.793","   0.776","  28.000","  850"
"14:34:50:839","2519767857134616","   3.810","   8.000"," 1300","   3.034","  31.268","   8.686","   0.700","  22.424","   6.229"," 55","0","   0.708","   2.864","   0.796","  28.000","  850"
"14:34:50:939","2519768128124538","   3.910","   6.000"," 1600","   2.856","  31.555","   8.765","   0.560","  22.480","   6.245"," 55","0","   0.658","   2.930","   0.814","  28.000","  850"
"14:34:51:040","2519768398497375","   4.010","  25.000"," 1600","   7.177","  32.273","   8.965","   4.379","  22.919","   6.366"," 58","0","   1.395","   3.070","   0.853","  28.000","  500"
"14:34:51:140","2519768669605966","   4.111","  19.000"," 1300","   7.143","  32.991","   9.164","   4.834","  23.404","   6.501"," 59","0","   0.861","   3.156","   0.877","  28.000","  500"
"14:34:51:238","2519768933178570","   4.208","  15.000"," 1600","   3.761","  33.358","   9.266","   1.371","  23.538","   6.538"," 56","0","   0.666","   3.221","   0.895","  28.000","  500"
"14:34:51:339","2519769207282978","   4.310","  14.000"," 1300","   4.038","  33.768","   9.380","   1.608","  23.701","   6.584"," 56","0","   0.811","   3.303","   0.918","  28.000","  500"
"14:34:51:440","2519769479271039","   4.411","  10.000"," 1600","   3.603","  34.131","   9.481","   0.883","  23.790","   6.608"," 56","0","   0.719","   3.376","   0.938","  28.000","  500"
"14:34:51:543","2519769756686925","   4.513","   6.000"," 1300","   2.900","  34.429","   9.564","   0.513","  23.843","   6.623"," 55","0","   0.633","   3.441","   0.956","  28.000","  500"
"14:34:51:639","2519770015671954","   4.609","  14.000"," 1600","   4.637","  34.874","   9.687","   2.301","  24.064","   6.684"," 56","0","   0.815","   3.519","   0.978","  28.000","  500"
"14:34:51:738","2519770283762778","   4.709","  14.000"," 1300","   5.986","  35.468","   9.852","   3.083","  24.370","   6.769"," 56","0","   1.101","   3.628","   1.008","  28.000","  850"
"14:34:51:843","2519770566840778","   4.813","   6.000"," 1300","   2.933","  35.776","   9.938","   0.646","  24.438","   6.788"," 55","0","   0.642","   3.696","   1.027","  28.000","  850"
"14:34:51:941","2519770832909247","   4.912","   7.000"," 1300","   3.318","  36.103","  10.028","   0.962","  24.532","   6.815"," 55","0","   0.722","   3.767","   1.046","  28.000","  700"
"14:34:52:039","2519771096349606","   5.010","   4.000"," 1600","   2.678","  36.364","  10.101","   0.380","  24.569","   6.825"," 54","0","   0.624","   3.828","   1.063","  28.000","  700"
"14:34:52:143","2519771376857842","   5.113","   5.000"," 1300","   2.761","  36.651","  10.181","   0.453","  24.616","   6.838"," 54","0","   0.655","   3.896","   1.082","  28.000","  700"
"14:34:52:242","2519771645447400","   5.213","  10.000"," 1300","   3.325","  36.982","  10.273","   1.027","  24.719","   6.866"," 55","0","   0.694","   3.965","   1.101","  28.000","  650"
"14:34:52:338","2519771903651043","   5.309","  28.000"," 3100","  11.699","  38.100","  10.583","   9.437","  25.621","   7.117"," 65","0","   0.827","   4.044","   1.123","  28.000","  500"
