"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:33:55:036","2519617193939946","   0.104","  12.000"," 1300","   6.633","   0.637","   0.177","   3.837","   0.369","   0.102"," 59","0","   1.177","   0.113","   0.031","  28.000","  850"
"14:33:55:141","2519617476870578","   0.209","   4.000"," 1300","   2.507","   0.900","   0.250","   0.332","   0.403","   0.112"," 58","0","   0.506","   0.166","   0.046","  28.000","  850"
"14:33:55:239","2519617742427488","   0.307","  11.000"," 1300","   3.286","   1.223","   0.340","   0.920","   0.494","   0.137"," 58","0","   0.731","   0.238","   0.066","  28.000","  850"
"14:33:55:340","2519618014259958","   0.408","  19.000"," 1600","   4.870","   1.713","   0.476","   2.543","   0.750","   0.208"," 61","0","   0.897","   0.328","   0.091","  28.000","  600"
"14:33:55:438","2519618277798004","   0.506","  16.000"," 2700","   5.304","   2.231","   0.620","   2.627","   1.006","   0.280"," 59","0","   1.206","   0.446","   0.124","  28.000","  500"
"14:33:55:541","2519618556843630","   0.609","  10.000"," 1300","   4.258","   2.671","   0.742","   1.365","   1.147","   0.319"," 58","0","   0.785","   0.527","   0.146","  28.000","  850"
"14:33:55:637","2519618815674502","   0.705","   6.000"," 1300","   2.891","   2.948","   0.819","   0.603","   1.205","   0.335"," 57","0","   0.473","   0.572","   0.159","  28.000","  850"
"14:33:55:740","2519619094322826","   0.808","   7.000"," 1300","   4.438","   3.406","   0.946","   1.801","   1.391","   0.386"," 58","0","   0.929","   0.668","   0.186","  28.000","  650"
"14:33:55:836","2519619354082074","   0.904","   1.000"," 1300","   2.268","   3.624","   1.007","   0.128","   1.403","   0.390"," 57","0","   0.457","   0.712","   0.198","  28.000","  650"
"14:33:55:941","2519619636896625","   1.009","   0.000"," 1300","   2.218","   3.857","   1.071","   0.086","   1.412","   0.392"," 56","0","   0.444","   0.759","   0.211","  28.000","  650"
"14:33:56:041","2519619906840914","   1.109","   1.000"," 1300","   2.236","   4.080","   1.133","   0.097","   1.422","   0.395"," 56","0","   0.448","   0.804","   0.223","  28.000","  650"
"14:33:56:140","2519620173152241","   1.208","  25.000"," 3100","   8.758","   4.944","   1.373","   6.444","   2.058","   0.572"," 64","0","   1.032","   0.905","   0.251","  28.000","  550"
"14:33:56:243","2519620452548367","   1.311","  46.000"," 3100","  13.837","   6.376","   1.771","  11.195","   3.216","   0.893"," 70","0","   1.121","   1.021","   0.284","  28.000","  500"
"14:33:56:341","2519620716457338","   1.409","  99.000"," 3100","  16.028","   7.943","   2.206","  13.591","   4.545","   1.262"," 77","0","   0.733","   1.093","   0.304","  28.000","  500"
"14:33:56:438","2519620977541821","   1.505","  97.000"," 3100","  15.572","   9.449","   2.625","  13.500","   5.850","   1.625"," 79","0","   0.687","   1.159","   0.322","  28.000","  500"
"14:33:56:540","2519621253785199","   1.608","  95.000"," 3100","  15.647","  11.050","   3.069","  13.607","   7.242","   2.012"," 80","0","   0.673","   1.228","   0.341","  28.000","  500"
"14:33:56:637","2519621515219512","   1.705","  94.000"," 3100","  16.062","  12.605","   3.501","  13.959","   8.594","   2.387"," 79","0","   0.846","   1.310","   0.364","  28.000","  500"
"14:33:56:736","2519621783693130","   1.804","  94.000"," 3100","  17.215","  14.317","   3.977","  14.893","  10.075","   2.799"," 81","0","   1.178","   1.427","   0.396","  28.000","  850"
"14:33:56:840","2519622063912441","   1.908","  96.000"," 3100","  15.791","  15.956","   4.432","  13.748","  11.502","   3.195"," 81","0","   0.677","   1.498","   0.416","  28.000","  850"
"14:33:56:939","2519622332227890","   2.007","  88.000"," 3100","  15.499","  17.496","   4.860","  13.431","  12.836","   3.566"," 81","0","   0.682","   1.565","   0.435","  28.000","  850"
"14:33:57:036","2519622593613666","   2.104","  96.000"," 3100","  15.842","  19.030","   5.286","  13.792","  14.172","   3.937"," 82","0","   0.796","   1.642","   0.456","  28.000","  850"
"14:33:57:141","2519622876483408","   2.209","  93.000"," 3100","  15.792","  20.684","   5.746","  13.732","  15.610","   4.336"," 82","0","   0.745","   1.721","   0.478","  28.000","  850"
"14:33:57:240","2519623144249941","   2.308","  96.000"," 3100","  15.835","  22.255","   6.182","  13.796","  16.979","   4.716"," 82","0","   0.676","   1.788","   0.497","  28.000","  850"
"14:33:57:340","2519623413585603","   2.408","  97.000"," 3100","  16.019","  23.853","   6.626","  13.972","  18.372","   5.103"," 83","0","   0.701","   1.858","   0.516","  28.000","  850"
"14:33:57:441","2519623686643785","   2.509","  94.000"," 3100","  15.864","  25.457","   7.071","  13.811","  19.769","   5.491"," 83","0","   0.716","   1.930","   0.536","  28.000","  850"
"14:33:57:539","2519623950001578","   2.606","  35.000"," 1300","   8.240","  26.261","   7.295","   5.693","  20.325","   5.646"," 69","0","   0.816","   2.010","   0.558","  28.000","  700"
"14:33:57:636","2519624213439390","   2.704","   7.000"," 1300","   3.542","  26.606","   7.391","   0.990","  20.421","   5.673"," 64","0","   0.809","   2.089","   0.580","  28.000","  500"
"14:33:57:737","2519624484537392","   2.804","  11.000"," 1300","   5.818","  27.191","   7.553","   2.997","  20.722","   5.756"," 62","0","   1.073","   2.196","   0.610","  28.000","  850"
"14:33:57:841","2519624766874386","   2.909","   3.000"," 1300","   2.497","  27.452","   7.625","   0.295","  20.753","   5.765"," 60","0","   0.500","   2.248","   0.625","  28.000","  850"
"14:33:57:939","2519625030970441","   3.007","   3.000"," 1300","   2.410","  27.687","   7.691","   0.250","  20.777","   5.772"," 59","0","   0.472","   2.295","   0.637","  28.000","  850"
"14:33:58:040","2519625302630577","   3.107","  30.000"," 1600","   8.393","  28.532","   7.926","   5.425","  21.323","   5.923"," 65","0","   1.343","   2.430","   0.675","  28.000","  500"
"14:33:58:139","2519625570354861","   3.207","  14.000"," 1600","   4.845","  29.012","   8.059","   1.813","  21.503","   5.973"," 61","0","   0.881","   2.517","   0.699","  28.000","  500"
"14:33:58:237","2519625834470450","   3.304","  11.000"," 1300","   3.704","  29.375","   8.160","   1.182","  21.619","   6.005"," 60","0","   0.781","   2.594","   0.720","  28.000","  500"
"14:33:58:339","2519626111131177","   3.407","   1.000"," 1300","   2.465","  29.627","   8.230","   0.169","  21.636","   6.010"," 59","0","   0.493","   2.644","   0.734","  28.000","  500"
"14:33:58:440","2519626384362070","   3.508","   3.000"," 1300","   2.847","  29.915","   8.310","   0.269","  21.663","   6.018"," 58","0","   0.481","   2.693","   0.748","  28.000","  500"
"14:33:58:538","2519626647964277","   3.606","   5.000"," 1300","   2.671","  30.176","   8.382","   0.451","  21.707","   6.030"," 59","0","   0.555","   2.747","   0.763","  28.000","  500"
"14:33:58:637","2519626915587288","   3.705","  17.000"," 2900","   4.458","  30.618","   8.505","   2.151","  21.921","   6.089"," 63","0","   0.839","   2.830","   0.786","  28.000","  500"
"14:33:58:741","2519627196433530","   3.809","  28.000"," 2700","   9.662","  31.623","   8.784","   6.287","  22.575","   6.271"," 62","0","   1.636","   3.000","   0.833","  28.000","  850"
"14:33:58:838","2519627457579846","   3.906","  22.000"," 1300","   7.578","  32.356","   8.988","   5.123","  23.070","   6.408"," 62","0","   0.860","   3.083","   0.857","  28.000","  850"
"14:33:58:936","2519627724188559","   4.004","  16.000"," 1600","   4.176","  32.768","   9.102","   1.571","  23.225","   6.451"," 61","0","   0.791","   3.162","   0.878","  28.000","  850"
"14:33:59:041","2519628006732374","   4.109","   9.000"," 1300","   3.315","  33.115","   9.199","   0.975","  23.327","   6.480"," 60","0","   0.736","   3.239","   0.900","  28.000","  850"
"14:33:59:140","2519628273269702","   4.208","   5.000"," 1300","   2.740","  33.386","   9.274","   0.450","  23.372","   6.492"," 59","0","   0.630","   3.301","   0.917","  28.000","  850"
"14:33:59:237","2519628536733758","   4.305","   7.000"," 1300","   2.885","  33.667","   9.352","   0.582","  23.428","   6.508"," 59","0","   0.678","   3.367","   0.935","  28.000","  850"
"14:33:59:336","2519628803283438","   4.404","  17.000"," 1600","   4.763","  34.138","   9.483","   2.317","  23.657","   6.571"," 60","0","   0.907","   3.457","   0.960","  28.000","  500"
"14:33:59:441","2519629085793252","   4.509","   4.000"," 1300","   2.641","  34.414","   9.559","   0.404","  23.699","   6.583"," 59","0","   0.540","   3.513","   0.976","  28.000","  500"
"14:33:59:538","2519629349204960","   4.606","   7.000"," 1300","   3.014","  34.708","   9.641","   0.701","  23.768","   6.602"," 59","0","   0.641","   3.576","   0.993","  28.000","  500"
"14:33:59:640","2519629622536077","   4.707","   8.000"," 1600","   3.096","  35.021","   9.728","   0.774","  23.846","   6.624"," 59","0","   0.685","   3.645","   1.012","  28.000","  500"
"14:33:59:741","2519629896856026","   4.809","  15.000"," 1300","   6.177","  35.649","   9.903","   3.528","  24.205","   6.724"," 59","0","   1.131","   3.760","   1.044","  28.000","  850"
"14:33:59:839","2519630161844410","   4.907","   7.000"," 1300","   2.940","  35.938","   9.983","   0.633","  24.267","   6.741"," 59","0","   0.683","   3.827","   1.063","  28.000","  850"
"14:33:59:937","2519630425499480","   5.005","   9.000"," 1300","   3.462","  36.276","  10.077","   1.064","  24.371","   6.770"," 59","0","   0.752","   3.900","   1.083","  28.000","  600"
"14:34:00:038","2519630697782442","   5.106","   7.000"," 1600","   3.056","  36.584","  10.162","   0.707","  24.442","   6.789"," 58","0","   0.701","   3.971","   1.103","  28.000","  500"
"14:34:00:140","2519630974340430","   5.208","   4.000"," 1300","   2.688","  36.859","  10.239","   0.386","  24.482","   6.800"," 58","0","   0.629","   4.035","   1.121","  28.000","  500"
"14:34:00:241","2519631245482317","   5.309","   6.000"," 1600","   2.816","  37.142","  10.317","   0.510","  24.533","   6.815"," 58","0","   0.670","   4.103","   1.140","  28.000","  500"
"14:34:00:336","2519631503490759","   5.404","   7.000"," 1600","   2.918","  37.421","  10.395","   0.639","  24.594","   6.832"," 58","0","   0.638","   4.164","   1.157","  28.000","  500"
"14:34:00:438","2519631777116565","   5.505","  20.000"," 3100","   6.874","  38.117","  10.588","   4.617","  25.062","   6.962"," 63","0","   0.745","   4.239","   1.178","  28.000","  500"
"14:34:00:540","2519632054289314","   5.608","  16.000"," 1300","   8.238","  38.963","  10.823","   5.936","  25.671","   7.131"," 60","0","   0.758","   4.317","   1.199","  28.000","  500"
"14:34:00:637","2519632315638962","   5.705","   3.000"," 1300","   2.777","  39.232","  10.898","   0.366","  25.707","   7.141"," 59","0","   0.651","   4.380","   1.217","  28.000","  500"
"14:34:00:736","2519632583448890","   5.804","   6.000"," 2700","   3.366","  39.566","  10.991","   0.772","  25.783","   7.162"," 59","0","   0.821","   4.461","   1.239","  28.000","  500"
"14:34:00:737","2519632585751074","   5.805","  69.000"," 2700","  12.383","  39.576","  10.993","   9.949","  25.792","   7.164"," 59","0","   1.789","   4.463","   1.240","  28.000","  500"

"Total Elapsed Time (sec) = 5.804919"
