"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:27:20:922","2518553129699768","   0.109","  51.000"," 2700","  11.676","   1.195","   0.332","   8.572","   0.878","   0.244"," 65","0","   1.648","   0.169","   0.047","  28.000","  850"
"14:27:21:022","2518553399153868","   0.209","  45.000"," 2700","   7.072","   1.901","   0.528","   4.422","   1.319","   0.366"," 63","0","   0.891","   0.258","   0.072","  28.000","  850"
"14:27:21:120","2518553663700480","   0.307","  50.000"," 1600","   7.244","   2.611","   0.725","   4.596","   1.770","   0.492"," 63","0","   0.940","   0.350","   0.097","  28.000","  850"
"14:27:21:220","2518553933060348","   0.406","  47.000"," 2700","   7.573","   3.367","   0.935","   5.119","   2.280","   0.633"," 63","0","   1.045","   0.454","   0.126","  28.000","  850"
"14:27:21:320","2518554203236120","   0.507","  49.000"," 2700","   7.481","   4.116","   1.143","   5.016","   2.783","   0.773"," 63","0","   1.074","   0.562","   0.156","  28.000","  850"
"14:27:21:420","2518554473297607","   0.607","  63.000"," 1600","  12.108","   5.327","   1.480","   9.550","   3.738","   1.038"," 65","0","   1.767","   0.739","   0.205","  28.000","  500"
"14:27:21:521","2518554746052940","   0.708","  58.000"," 2700","   8.278","   6.164","   1.712","   5.859","   4.330","   1.203"," 64","0","   1.329","   0.873","   0.242","  28.000","  850"
"14:27:21:620","2518555013307279","   0.807","  43.000"," 1600","   5.883","   6.746","   1.874","   3.454","   4.672","   1.298"," 61","0","   0.743","   0.946","   0.263","  28.000","  850"
"14:27:21:721","2518555285375036","   0.907","  53.000"," 2700","   9.512","   7.705","   2.140","   7.147","   5.392","   1.498"," 64","0","   1.427","   1.090","   0.303","  28.000","  500"
"14:27:21:824","2518555564697811","   1.011","  23.000"," 1600","   4.760","   8.198","   2.277","   2.284","   5.629","   1.564"," 61","0","   0.582","   1.151","   0.320","  28.000","  500"
"14:27:21:925","2518555836603093","   1.112","  19.000"," 1600","   4.095","   8.610","   2.392","   1.889","   5.819","   1.616"," 60","0","   0.484","   1.199","   0.333","  28.000","  500"
"14:27:22:021","2518556094296946","   1.207","  22.000"," 1600","   4.381","   9.029","   2.508","   2.200","   6.029","   1.675"," 59","0","   0.518","   1.249","   0.347","  28.000","  500"
"14:27:22:121","2518556364413511","   1.307","  18.000"," 1600","   4.036","   9.432","   2.620","   1.842","   6.214","   1.726"," 59","0","   0.472","   1.296","   0.360","  28.000","  500"
"14:27:22:225","2518556647076010","   1.412","  34.000"," 3000","   6.078","  10.069","   2.797","   3.851","   6.617","   1.838"," 63","0","   0.779","   1.378","   0.383","  28.000","  500"
"14:27:22:324","2518556913587415","   1.511","  71.000"," 3100","  18.488","  11.894","   3.304","  15.925","   8.189","   2.275"," 73","0","   1.519","   1.528","   0.424","  28.000","  500"
"14:27:22:424","2518557182971749","   1.610"," 100.000"," 3100","  22.463","  14.136","   3.927","  20.112","  10.196","   2.832"," 81","0","   0.822","   1.610","   0.447","  28.000","  500"
"14:27:22:521","2518557445427034","   1.708","  99.000"," 3100","  22.135","  16.288","   4.525","  20.052","  12.146","   3.374"," 83","0","   0.706","   1.678","   0.466","  28.000","  500"
"14:27:22:623","2518557719933769","   1.809"," 100.000"," 3100","  22.457","  18.572","   5.159","  20.361","  14.217","   3.949"," 85","0","   0.665","   1.746","   0.485","  28.000","  500"
"14:27:22:721","2518557984181290","   1.907","  99.000"," 3100","  23.456","  20.868","   5.797","  21.140","  16.286","   4.524"," 86","0","   1.108","   1.854","   0.515","  28.000","  850"
"14:27:22:825","2518558266206949","   2.012","  99.000"," 3100","  23.074","  23.279","   6.466","  20.881","  18.468","   5.130"," 87","0","   0.882","   1.947","   0.541","  28.000","  700"
"14:27:22:923","2518558530889305","   2.110","  99.000"," 3100","  22.078","  25.444","   7.068","  19.990","  20.428","   5.674"," 85","0","   0.751","   2.020","   0.561","  28.000","  700"
"14:27:23:024","2518558801486206","   2.210","  99.000"," 3100","  22.231","  27.673","   7.687","  19.912","  22.424","   6.229"," 87","0","   0.679","   2.088","   0.580","  28.000","  700"
"14:27:23:125","2518559076462798","   2.312"," 100.000"," 3100","  22.129","  29.927","   8.313","  20.043","  24.466","   6.796"," 88","0","   0.669","   2.156","   0.599","  28.000","  700"
"14:27:23:223","2518559341139166","   2.410","  99.000"," 3100","  22.477","  32.131","   8.925","  20.377","  26.464","   7.351"," 88","0","   0.673","   2.222","   0.617","  28.000","  700"
"14:27:23:322","2518559606239587","   2.508","  99.000"," 3100","  22.542","  34.345","   9.540","  20.449","  28.472","   7.909"," 90","0","   0.669","   2.288","   0.636","  28.000","  700"
"14:27:23:424","2518559881642218","   2.610","  99.000"," 3100","  22.530","  36.644","  10.179","  20.429","  30.557","   8.488"," 90","0","   0.706","   2.360","   0.656","  28.000","  700"
"14:27:23:523","2518560149696328","   2.710","  99.000"," 3100","  22.633","  38.891","  10.803","  20.514","  32.594","   9.054"," 90","0","   0.709","   2.431","   0.675","  28.000","  700"
"14:27:23:621","2518560415221441","   2.808","  99.000"," 3100","  22.570","  41.111","  11.420","  20.467","  34.607","   9.613"," 91","0","   0.699","   2.499","   0.694","  28.000","  700"
"14:27:23:723","2518560688988562","   2.909","  96.000"," 3100","  23.350","  43.480","  12.078","  20.997","  36.737","  10.205"," 90","0","   1.121","   2.613","   0.726","  28.000","  850"
"14:27:23:824","2518560962230863","   3.011","  98.000"," 3100","  22.307","  45.738","  12.705","  20.212","  38.783","  10.773"," 90","0","   0.801","   2.694","   0.748","  28.000","  850"
"14:27:23:921","2518561223023998","   3.107","  99.000"," 3100","  22.991","  47.959","  13.322","  20.743","  40.787","  11.330"," 90","0","   1.023","   2.793","   0.776","  28.000","  500"
"14:27:24:026","2518561506460629","   3.212","  99.000"," 3100","  22.667","  50.339","  13.983","  20.502","  42.940","  11.928"," 91","0","   0.949","   2.893","   0.804","  28.000","  500"
"14:27:24:126","2518561776490737","   3.312","  99.000"," 3100","  22.540","  52.594","  14.609","  20.383","  44.979","  12.494"," 90","0","   0.937","   2.986","   0.830","  28.000","  500"
"14:27:24:223","2518562038815417","   3.409","  99.000"," 3100","  22.352","  54.766","  15.213","  19.979","  46.920","  13.033"," 90","0","   0.909","   3.075","   0.854","  28.000","  500"
"14:27:24:322","2518562305430865","   3.508"," 100.000"," 3100","  22.654","  57.004","  15.834","  20.299","  48.925","  13.590"," 91","0","   0.667","   3.141","   0.872","  28.000","  500"
"14:27:24:421","2518562574553635","   3.608","  99.000"," 3100","  22.413","  59.238","  16.455","  20.315","  50.951","  14.153"," 91","0","   0.659","   3.206","   0.891","  28.000","  500"
"14:27:24:526","2518562856496029","   3.712","  99.000"," 3100","  22.275","  61.565","  17.101","  20.189","  53.059","  14.739"," 92","0","   0.674","   3.277","   0.910","  28.000","  500"
"14:27:24:622","2518563115235118","   3.808","  99.000"," 3100","  22.476","  63.719","  17.700","  20.342","  55.009","  15.280"," 92","0","   0.718","   3.346","   0.929","  28.000","  500"
"14:27:24:726","2518563396673065","   3.912","  99.000"," 3100","  23.272","  66.146","  18.374","  20.678","  57.165","  15.879"," 90","0","   1.219","   3.473","   0.965","  28.000","  850"
"14:27:24:821","2518563654578589","   4.008","  99.000"," 3100","  22.398","  68.286","  18.968","  20.281","  59.103","  16.417"," 91","0","   0.788","   3.548","   0.986","  28.000","  850"
"14:27:24:921","2518563923325282","   4.108","  99.000"," 3100","  21.951","  70.471","  19.575","  19.862","  61.080","  16.967"," 92","0","   0.763","   3.624","   1.007","  28.000","  850"
"14:27:25:021","2518564193400996","   4.208","  99.000"," 3100","  21.973","  72.670","  20.186","  19.867","  63.068","  17.519"," 92","0","   0.811","   3.705","   1.029","  28.000","  850"
"14:27:25:126","2518564476495705","   4.312","  99.000"," 3100","  22.168","  74.994","  20.832","  20.055","  65.171","  18.103"," 92","0","   0.826","   3.792","   1.053","  28.000","  850"
"14:27:25:222","2518564734729663","   4.408","  99.000"," 3100","  22.374","  77.135","  21.426","  20.241","  67.108","  18.641"," 92","0","   0.882","   3.876","   1.077","  28.000","  850"
"14:27:25:323","2518565008338705","   4.510","  99.000"," 3100","  21.873","  79.352","  22.042","  19.779","  69.113","  19.198"," 91","0","   0.798","   3.957","   1.099","  28.000","  850"
"14:27:25:424","2518565279837712","   4.610","  99.000"," 3100","  22.599","  81.625","  22.674","  20.245","  71.149","  19.764"," 93","0","   0.729","   4.030","   1.120","  28.000","  850"
"14:27:25:526","2518565556585243","   4.713"," 100.000"," 3100","  22.532","  83.935","  23.315","  20.189","  73.219","  20.339"," 93","0","   0.719","   4.104","   1.140","  28.000","  850"
"14:27:25:622","2518565815248906","   4.808","  99.000"," 3100","  22.969","  86.136","  23.927","  20.567","  75.189","  20.886"," 93","0","   0.747","   4.176","   1.160","  28.000","  850"
"14:27:25:725","2518566094222479","   4.912","  99.000"," 3100","  23.808","  88.596","  24.610","  21.198","  77.380","  21.495"," 93","0","   1.178","   4.297","   1.194","  28.000","  850"
"14:27:25:822","2518566355802082","   5.009"," 100.000"," 3100","  22.995","  90.825","  25.229","  20.401","  79.357","  22.044"," 94","0","   0.718","   4.367","   1.213","  28.000","  850"
"14:27:25:925","2518566633517818","   5.112","  99.000"," 3100","  22.509","  93.141","  25.872","  20.393","  81.455","  22.626"," 94","0","   0.701","   4.439","   1.233","  28.000","  850"
"14:27:26:023","2518566898620864","   5.210","  99.000"," 3100","  22.351","  95.336","  26.482","  20.262","  83.445","  23.179"," 95","0","   0.671","   4.505","   1.251","  28.000","  850"
"14:27:26:126","2518567175575473","   5.312","  99.000"," 3100","  22.566","  97.651","  27.125","  20.450","  85.543","  23.762"," 95","0","   0.704","   4.577","   1.271","  28.000","  850"
"14:27:26:222","2518567435472172","   5.409","  99.000"," 3100","  22.727","  99.839","  27.733","  20.378","  87.505","  24.307"," 95","0","   0.716","   4.646","   1.291","  28.000","  850"
"14:27:26:322","2518567704608679","   5.508","  99.000"," 3100","  23.076"," 102.140","  28.372","  20.487","  89.548","  24.874"," 95","0","   0.722","   4.718","   1.311","  28.000","  850"
"14:27:26:426","2518567986466839","   5.613"," 100.000"," 3100","  22.972"," 104.538","  29.038","  20.386","  91.676","  25.466"," 95","0","   0.718","   4.793","   1.331","  28.000","  850"
"14:27:26:526","2518568255537403","   5.712","  99.000"," 3100","  22.497"," 106.781","  29.661","  20.400","  93.710","  26.031"," 95","0","   0.666","   4.860","   1.350","  28.000","  850"
"14:27:26:622","2518568514254007","   5.808","  99.000"," 3100","  22.234"," 108.912","  30.253","  20.161","  95.642","  26.567"," 95","0","   0.651","   4.922","   1.367","  28.000","  850"
"14:27:26:725","2518568792728359","   5.911","  96.000"," 3100","  23.760"," 111.363","  30.934","  21.388","  97.849","  27.180"," 95","0","   1.102","   5.036","   1.399","  28.000","  850"
"14:27:26:824","2518569059294622","   6.010","  99.000"," 3100","  22.885"," 113.623","  31.562","  20.507","  99.874","  27.743"," 95","0","   0.825","   5.117","   1.421","  28.000","  850"
"14:27:26:926","2518569335132577","   6.112","  99.000"," 3100","  23.206"," 115.994","  32.221","  20.815"," 102.001","  28.334"," 96","0","   0.763","   5.195","   1.443","  28.000","  850"
"14:27:27:022","2518569595176792","   6.209","  99.000"," 3100","  22.892"," 118.199","  32.833","  20.527"," 103.978","  28.883"," 96","0","   0.836","   5.276","   1.465","  28.000","  850"
"14:27:27:124","2518569870534858","   6.311","  98.000"," 3100","  22.935"," 120.539","  33.483","  20.562"," 106.076","  29.465"," 96","0","   0.719","   5.349","   1.486","  28.000","  850"
"14:27:27:221","2518570133082609","   6.408","  99.000"," 3100","  22.585"," 122.736","  34.093","  20.494"," 108.069","  30.019"," 96","0","   0.666","   5.414","   1.504","  28.000","  850"
"14:27:27:326","2518570415696655","   6.513"," 100.000"," 3100","  22.728"," 125.115","  34.754","  20.621"," 110.228","  30.619"," 97","0","   0.677","   5.485","   1.524","  28.000","  850"
"14:27:27:422","2518570675022751","   6.609","  99.000"," 3100","  22.662"," 127.292","  35.359","  20.565"," 112.203","  31.168"," 97","0","   0.667","   5.549","   1.541","  28.000","  850"
"14:27:27:526","2518570956465027","   6.713","  96.000"," 3100","  22.720"," 129.661","  36.017","  20.596"," 114.351","  31.764"," 97","0","   0.796","   5.632","   1.564","  28.000","  850"
"14:27:27:622","2518571215207473","   6.809","  99.000"," 3100","  22.747"," 131.841","  36.623","  20.647"," 116.330","  32.314"," 97","0","   0.666","   5.695","   1.582","  28.000","  850"
"14:27:27:726","2518571495603991","   6.913","  99.000"," 3100","  23.902"," 134.324","  37.312","  21.538"," 118.567","  32.935"," 97","0","   1.089","   5.809","   1.613","  28.000","  850"
"14:27:27:822","2518571754446217","   7.009","  99.000"," 3100","  22.778"," 136.508","  37.919","  20.677"," 120.550","  33.486"," 98","0","   0.706","   5.876","   1.632","  28.000","  850"
"14:27:27:923","2518572026874021","   7.110","  99.000"," 3100","  22.560"," 138.785","  38.551","  20.475"," 122.616","  34.060"," 98","0","   0.685","   5.945","   1.652","  28.000","  850"
"14:27:28:027","2518572306530064","   7.213","  99.000"," 3100","  22.689"," 141.135","  39.204","  20.539"," 124.744","  34.651"," 98","0","   0.886","   6.037","   1.677","  28.000","  850"
"14:27:28:126","2518572575855577","   7.313","  99.000"," 3100","  23.151"," 143.445","  39.846","  20.499"," 126.789","  35.219"," 98","0","   0.956","   6.133","   1.703","  28.000","  850"
"14:27:28:223","2518572836329059","   7.409","  99.000"," 3100","  22.861"," 145.651","  40.459","  20.479"," 128.765","  35.768"," 98","0","   0.660","   6.196","   1.721","  28.000","  850"
"14:27:28:327","2518573116550545","   7.513","  99.000"," 3100","  22.741"," 148.012","  41.114","  20.642"," 130.908","  36.363"," 98","0","   0.663","   6.265","   1.740","  28.000","  850"
"14:27:28:423","2518573375580622","   7.609","  99.000"," 3100","  22.721"," 150.192","  41.720","  20.623"," 132.887","  36.913"," 98","0","   0.662","   6.328","   1.758","  28.000","  850"
"14:27:28:527","2518573656473157","   7.713","  99.000"," 3100","  22.778"," 152.562","  42.378","  20.676"," 135.038","  37.511"," 99","0","   0.658","   6.397","   1.777","  28.000","  850"
"14:27:28:623","2518573915222857","   7.809","  99.000"," 3100","  23.101"," 154.776","  42.993","  20.983"," 137.049","  38.069","100","0","   0.665","   6.461","   1.795","  28.000","  850"
"14:27:28:724","2518574188378245","   7.910","  95.000"," 3100","  24.210"," 157.226","  43.674","  21.824"," 139.258","  38.683","100","0","   1.047","   6.567","   1.824","  28.000","  850"
"14:27:28:825","2518574462222907","   8.012","  99.000"," 3100","  23.479"," 159.608","  44.336","  21.115"," 141.400","  39.278","100","0","   0.780","   6.646","   1.846","  28.000","  850"
"14:27:28:924","2518574730349104","   8.111"," 100.000"," 3100","  23.494"," 161.942","  44.984","  21.333"," 143.518","  39.866","100","0","   0.681","   6.713","   1.865","  28.000","  850"
"14:27:29:024","2518575000160407","   8.211","  99.000"," 3100","  23.353"," 164.276","  45.632","  21.218"," 145.639","  40.455","100","0","   0.708","   6.784","   1.884","  28.000","  850"
"14:27:29:127","2518575276470967","   8.313","  99.000"," 3100","  23.214"," 166.652","  46.292","  21.089"," 147.798","  41.055","100","0","   0.658","   6.851","   1.903","  28.000","  850"
"14:27:29:223","2518575536603736","   8.410","  99.000"," 3100","  22.602"," 168.830","  46.897","  20.509"," 149.774","  41.604","100","0","   0.703","   6.919","   1.922","  28.000","  850"
"14:27:29:327","2518575816455412","   8.513","  99.000"," 3100","  22.759"," 171.189","  47.553","  20.663"," 151.916","  42.199","100","0","   0.662","   6.988","   1.941","  28.000","  850"
"14:27:29:425","2518576080426117","   8.611","  99.000"," 3100","  22.719"," 173.411","  48.170","  20.623"," 153.933","  42.759","100","0","   0.664","   7.053","   1.959","  28.000","  850"
"14:27:29:522","2518576343296584","   8.709","  99.000"," 3100","  22.619"," 175.613","  48.782","  20.533"," 155.932","  43.315","100","0","   0.674","   7.118","   1.977","  28.000","  850"
"14:27:29:623","2518576615214958","   8.809","  99.000"," 3100","  22.752"," 177.905","  49.418","  20.655"," 158.013","  43.893","100","0","   0.660","   7.185","   1.996","  28.000","  850"
"14:27:29:723","2518576885655562","   8.909","  95.000"," 3100","  23.897"," 180.299","  50.083","  21.517"," 160.169","  44.491","100","0","   1.058","   7.291","   2.025","  28.000","  850"
"14:27:29:824","2518577158641801","   9.011","  99.000"," 3100","  23.554"," 182.681","  50.745","  21.410"," 162.334","  45.093","100","0","   0.780","   7.370","   2.047","  28.000","  850"
"14:27:29:927","2518577435885577","   9.113","  99.000"," 3100","  23.254"," 185.069","  51.408","  21.114"," 164.502","  45.695","100","0","   0.744","   7.446","   2.068","  28.000","  850"
"14:27:30:022","2518577694304818","   9.209","  99.000"," 3100","  22.455"," 187.219","  52.005","  20.356"," 166.451","  46.236","100","0","   0.764","   7.519","   2.089","  28.000","  850"
"14:27:30:127","2518577976477891","   9.314","  99.000"," 3100","  23.260"," 189.650","  52.681","  21.117"," 168.658","  46.849","100","0","   0.711","   7.594","   2.109","  28.000","  850"
"14:27:30:226","2518578242992755","   9.412","  99.000"," 3100","  22.631"," 191.885","  53.301","  20.516"," 170.684","  47.412","100","0","   0.739","   7.667","   2.130","  28.000","  850"
"14:27:30:327","2518578515613687","   9.513","  99.000"," 3100","  22.855"," 194.193","  53.942","  20.749"," 172.779","  47.994","100","0","   0.683","   7.736","   2.149","  28.000","  850"
"14:27:30:423","2518578774811332","   9.609"," 100.000"," 3100","  22.782"," 196.380","  54.550","  20.682"," 174.765","  48.546","100","0","   0.667","   7.800","   2.167","  28.000","  850"
"14:27:30:526","2518579054397550","   9.713","  99.000"," 3100","  22.733"," 198.735","  55.204","  20.641"," 176.903","  49.140","101","0","   0.659","   7.868","   2.186","  28.000","  850"
"14:27:30:623","2518579315210677","   9.809","  99.000"," 3100","  23.004"," 200.957","  55.821","  20.890"," 178.921","  49.700","101","0","   0.664","   7.932","   2.203","  28.000","  850"
"14:27:30:723","2518579586778102","   9.910","  95.000"," 3100","  23.694"," 203.341","  56.484","  21.340"," 181.068","  50.297","101","0","   1.045","   8.037","   2.233","  28.000","  850"
"14:27:30:825","2518579859987691","  10.011","  99.000"," 3100","  23.182"," 205.687","  57.135","  21.053"," 183.198","  50.888","102","0","   0.784","   8.117","   2.255","  28.000","  850"
"14:27:30:923","2518580126502654","  10.110","  99.000"," 3100","  22.828"," 207.940","  57.761","  20.732"," 185.245","  51.457","102","0","   0.702","   8.186","   2.274","  28.000","  850"
"14:27:31:027","2518580406491832","  10.214","  99.000"," 3100","  22.994"," 210.325","  58.424","  20.889"," 187.412","  52.059","102","0","   0.688","   8.257","   2.294","  28.000","  850"
"14:27:31:127","2518580676524916","  10.314","  83.000"," 3100","  22.339"," 212.560","  59.044","  20.184"," 189.431","  52.620","100","0","   0.725","   8.330","   2.314","  28.000","  850"
"14:27:31:227","2518580946478425","  10.414","  99.000"," 3100","  23.574"," 214.917","  59.699","  21.439"," 191.574","  53.215","102","0","   0.661","   8.396","   2.332","  28.000","  850"
"14:27:31:326","2518581214525779","  10.513","  99.000"," 3100","  23.522"," 217.253","  60.348","  21.386"," 193.698","  53.805","102","0","   0.675","   8.463","   2.351","  28.000","  850"
"14:27:31:422","2518581473011371","  10.609","  99.000"," 3100","  23.697"," 219.522","  60.978","  21.547"," 195.761","  54.378","102","0","   0.706","   8.531","   2.370","  28.000","  850"
"14:27:31:527","2518581756470190","  10.714","  99.000"," 3100","  23.611"," 222.001","  61.667","  21.476"," 198.016","  55.004","103","0","   0.671","   8.601","   2.389","  28.000","  850"
"14:27:31:623","2518582015220442","  10.810","  99.000"," 3100","  23.665"," 224.270","  62.297","  21.526"," 200.079","  55.578","102","0","   0.665","   8.665","   2.407","  28.000","  850"
"14:27:31:726","2518582294396767","  10.913","  95.000"," 3100","  24.583"," 226.812","  63.003","  22.177"," 202.373","  56.215","102","0","   1.064","   8.775","   2.437","  28.000","  850"
"14:27:31:822","2518582553105826","  11.009","  99.000"," 3100","  23.908"," 229.103","  63.640","  21.737"," 204.456","  56.793","102","0","   0.874","   8.859","   2.461","  28.000","  850"
"14:27:31:923","2518582825390503","  11.110","  99.000"," 3100","  24.076"," 231.531","  64.314","  21.674"," 206.642","  57.401","103","0","   0.723","   8.931","   2.481","  28.000","  850"
"14:27:32:025","2518583099473539","  11.211","  99.000"," 3100","  23.840"," 233.952","  64.987","  21.461"," 208.821","  58.006","103","0","   0.690","   9.001","   2.500","  28.000","  850"
"14:27:32:127","2518583375929176","  11.314","  99.000"," 3100","  23.984"," 236.408","  65.669","  21.819"," 211.056","  58.627","104","0","   0.666","   9.070","   2.519","  28.000","  850"
"14:27:32:222","2518583633149689","  11.409","  97.000"," 3100","  23.129"," 238.612","  66.281","  21.018"," 213.058","  59.183","104","0","   0.659","   9.133","   2.537","  28.000","  850"
"14:27:32:327","2518583916472926","  11.514","  99.000"," 3100","  23.026"," 241.028","  66.952","  20.924"," 215.254","  59.793","103","0","   0.699","   9.206","   2.557","  28.000","  850"
"14:27:32:423","2518584174439779","  11.609","  99.000"," 3100","  23.425"," 243.267","  67.574","  21.286"," 217.288","  60.358","104","0","   0.707","   9.273","   2.576","  28.000","  850"
"14:27:32:526","2518584453846249","  11.713","  96.000"," 3100","  23.068"," 245.654","  68.237","  20.952"," 219.457","  60.960","105","0","   0.720","   9.348","   2.597","  28.000","  850"
"14:27:32:623","2518584714120381","  11.809","  99.000"," 3100","  23.134"," 247.885","  68.857","  21.012"," 221.483","  61.523","104","0","   0.794","   9.425","   2.618","  28.000","  850"
"14:27:32:723","2518584983258769","  11.909","  99.000"," 3100","  24.398"," 250.317","  69.533","  21.978"," 223.674","  62.132","104","0","   1.150","   9.539","   2.650","  28.000","  850"
"14:27:32:823","2518585255157907","  12.010","  99.000"," 3100","  23.477"," 252.682","  70.189","  21.290"," 225.818","  62.727","104","0","   0.844","   9.624","   2.673","  28.000","  700"
"14:27:32:927","2518585534492593","  12.113","  99.000"," 3100","  22.926"," 255.054","  70.848","  20.836"," 227.974","  63.326","104","0","   0.674","   9.694","   2.693","  28.000","  700"
"14:27:33:023","2518585793223612","  12.209","  99.000"," 3100","  23.124"," 257.270","  71.464","  21.012"," 229.988","  63.886","104","0","   0.720","   9.763","   2.712","  28.000","  700"
"14:27:33:124","2518586066877540","  12.310","  99.000"," 3100","  22.928"," 259.594","  72.110","  20.832"," 232.100","  64.472","104","0","   0.672","   9.831","   2.731","  28.000","  700"
"14:27:33:225","2518586340025398","  12.412","  99.000"," 3100","  23.225"," 261.944","  72.762","  21.107"," 234.235","  65.065","105","0","   0.693","   9.901","   2.750","  28.000","  700"
"14:27:33:327","2518586616019029","  12.514","  99.000"," 3100","  23.038"," 264.300","  73.417","  20.941"," 236.376","  65.660","105","0","   0.670","   9.970","   2.769","  28.000","  700"
"14:27:33:423","2518586875126827","  12.610","  99.000"," 3100","  22.911"," 266.499","  74.027","  20.798"," 238.373","  66.215","104","0","   0.659","  10.033","   2.787","  28.000","  700"
"14:27:33:528","2518587156490128","  12.714","  99.000"," 3100","  22.874"," 268.883","  74.690","  20.775"," 240.538","  66.816","104","0","   0.669","  10.103","   2.806","  28.000","  700"
"14:27:33:623","2518587415237587","  12.810","  99.000"," 3100","  22.943"," 271.082","  75.300","  20.830"," 242.534","  67.371","104","0","   0.667","  10.167","   2.824","  28.000","  700"
"14:27:33:727","2518587694045509","  12.913","  95.000"," 3100","  24.012"," 273.561","  75.989","  21.618"," 244.767","  67.991","104","0","   1.065","  10.277","   2.855","  28.000","  850"
"14:27:33:823","2518587953116260","  13.009","  99.000"," 3100","  22.976"," 275.766","  76.602","  20.830"," 246.766","  68.546","104","0","   0.822","  10.355","   2.877","  28.000","  850"
"14:27:33:928","2518588236470508","  13.114","  99.000"," 3100","  22.712"," 278.150","  77.264","  20.590"," 248.927","  69.146","104","0","   0.687","  10.427","   2.897","  28.000","  850"
"14:27:34:025","2518588499147940","  13.211","  99.000"," 3100","  22.696"," 280.359","  77.877","  20.576"," 250.929","  69.703","104","0","   0.690","  10.495","   2.915","  28.000","  850"
"14:27:34:127","2518588773688401","  13.313","  99.000"," 3000","  22.894"," 282.687","  78.524","  20.775"," 253.042","  70.289","105","0","   0.671","  10.563","   2.934","  28.000","  850"
"14:27:34:223","2518589033507889","  13.409","  99.000"," 3100","  22.330"," 284.836","  79.121","  20.223"," 254.988","  70.830","104","0","   0.669","  10.627","   2.952","  28.000","  850"
"14:27:34:323","2518589304078345","  13.510","  99.000"," 3100","  22.681"," 287.109","  79.753","  20.560"," 257.049","  71.402","105","0","   0.748","  10.702","   2.973","  28.000","  850"
"14:27:34:425","2518589580151449","  13.612","  99.000"," 3000","  22.859"," 289.447","  80.402","  20.732"," 259.169","  71.991","105","0","   0.662","  10.770","   2.992","  28.000","  850"
"14:27:34:527","2518589853722082","  13.713","  99.000"," 3100","  22.404"," 291.717","  81.033","  20.298"," 261.226","  72.563","104","0","   0.656","  10.836","   3.010","  28.000","  850"
"14:27:34:623","2518590113935296","  13.810","  99.000"," 3100","  22.456"," 293.882","  81.634","  20.354"," 263.188","  73.108","104","0","   0.659","  10.900","   3.028","  28.000","  850"
"14:27:34:728","2518590396498093","  13.914","  95.000"," 3100","  23.893"," 296.382","  82.328","  21.502"," 265.438","  73.733","105","0","   1.057","  11.011","   3.059","  28.000","  850"
"14:27:34:824","2518590656299002","  14.011","  99.000"," 3100","  22.353"," 298.534","  82.926","  20.218"," 267.384","  74.273","105","0","   0.784","  11.086","   3.079","  28.000","  850"
"14:27:34:928","2518590936495753","  14.114","  99.000"," 3000","  22.635"," 300.883","  83.579","  20.507"," 269.513","  74.865","105","0","   0.662","  11.155","   3.099","  28.000","  850"
"14:27:35:028","2518591206498630","  14.214","  99.000"," 3000","  22.489"," 303.132","  84.203","  20.357"," 271.549","  75.430","105","0","   0.809","  11.236","   3.121","  28.000","  850"
"14:27:35:124","2518591465429854","  14.310","  99.000"," 3000","  22.855"," 305.324","  84.812","  20.726"," 273.536","  75.982","105","0","   0.733","  11.306","   3.141","  28.000","  850"
"14:27:35:224","2518591735872042","  14.410","  99.000"," 3100","  22.325"," 307.561","  85.434","  20.216"," 275.562","  76.545","104","0","   0.667","  11.373","   3.159","  28.000","  850"
"14:27:35:327","2518592014435677","  14.514","  99.000"," 3000","  22.372"," 309.869","  86.075","  20.267"," 277.653","  77.126","105","0","   0.681","  11.443","   3.179","  28.000","  850"
"14:27:35:425","2518592279190585","  14.612","  99.000"," 3100","  22.298"," 312.056","  86.682","  20.187"," 279.633","  77.676","104","0","   0.689","  11.511","   3.197","  28.000","  850"
"14:27:35:525","2518592550159351","  14.712","  99.000"," 3100","  22.550"," 314.319","  87.311","  20.436"," 281.684","  78.246","105","0","   0.664","  11.577","   3.216","  28.000","  850"
"14:27:35:624","2518592815225764","  14.810","  99.000"," 3100","  22.175"," 316.497","  87.916","  20.072"," 283.655","  78.793","104","0","   0.663","  11.642","   3.234","  28.000","  850"
"14:27:35:727","2518593093872988","  14.913","  95.000"," 3000","  23.331"," 318.905","  88.585","  20.921"," 285.814","  79.393","103","0","   1.118","  11.758","   3.266","  28.000","  850"
"14:27:35:823","2518593354300882","  15.010","  99.000"," 2900","  22.869"," 321.111","  89.197","  20.475"," 287.789","  79.941","105","0","   0.857","  11.840","   3.289","  28.000","  850"
